City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,295.99,71,84,5.66,PF,1669850274
1,sao filipe,14.8961,-24.4956,297.41,65,70,4.06,CV,1669850274
2,puerto ayora,-0.7393,-90.3518,294.57,87,63,4.02,EC,1669850274
3,bethel,41.3712,-73.414,287.35,73,100,8.23,US,1669850175
4,port shepstone,-30.7414,30.455,293.71,82,80,9.16,ZA,1669850275
5,cockburn town,21.4612,-71.1419,299.13,65,40,4.12,TC,1669850275
6,paamiut,61.994,-49.6678,269.57,84,100,20.12,GL,1669850275
7,punta arenas,-53.15,-70.9167,284.21,46,40,16.98,CL,1669850097
8,hermanus,-34.4187,19.2345,289.15,83,69,1.47,ZA,1669849846
9,barrow,71.2906,-156.7887,271.16,93,100,3.6,US,1669850275
10,busselton,-33.65,115.3333,290.33,76,100,4.36,AU,1669850275
11,kalininskaya,45.4822,38.6628,276.04,70,30,8.07,RU,1669850276
12,mataura,-46.1927,168.8643,283.42,73,78,3.65,NZ,1669850276
13,taguatinga,-12.3857,-46.5711,294.94,91,93,1.02,BR,1669850276
14,araouane,18.9048,-3.5265,295.86,15,99,3.82,ML,1669850276
15,touros,-5.1989,-35.4608,299.28,69,100,4.95,BR,1669850276
16,kavaratti,10.5669,72.642,299.99,75,5,1.19,IN,1669850276
17,hervey bay,-25.2986,152.8535,294.15,88,100,10.8,AU,1669850276
18,cocobeach,1.0002,9.5823,299.05,82,100,0.74,GA,1669850276
19,cidreira,-30.1811,-50.2056,294.63,94,99,9.21,BR,1669850277
20,karratha,-20.7377,116.8463,301.58,48,79,4.13,AU,1669850277
21,susangerd,31.5608,48.1831,294.45,76,55,2.6,IR,1669850277
22,jamestown,42.097,-79.2353,272.44,84,100,10.29,US,1669850131
23,kasungu,-13.0333,33.4833,290.98,91,78,1.03,MW,1669850277
24,severomuysk,56.1481,113.4267,241.99,96,100,2.23,RU,1669850277
25,khatanga,71.9667,102.5,237.99,97,77,3.01,RU,1669850277
26,la ronge,55.1001,-105.2842,249.29,64,75,2.57,CA,1669850278
